"Zeit";"Einstrahlung auf die Horizontale ";"Diffusstrahlung auf die Horizontale ";"Außentemperatur ";"Gebäude 01-Dachfläche Süd: Sonnenhöhe ";"Gebäude 01-Dachfläche Süd: Einstrahlung auf die geneigte Fläche ";"Gebäude 01-Dachfläche Süd: Modultemperatur ";"Strom (AC) Wechselrichter 1 (SolarEdge SE10K-RWS-EU-APAC/AUS)  ";"Leerlaufspannung (MPP 1, Wechselrichter 1 (SolarEdge SE10K-RWS-EU-APAC/AUS)) ";"MPP-Spannung (MPP 1, Wechselrichter 1 (SolarEdge SE10K-RWS-EU-APAC/AUS)) ";"Netzeinspeisung ";"Netzbezug ";"Verbrauch ";"Einspeiseabregelung ";"Eigenverbrauch ";"Globalstrahlung horizontal ";"Abweichung vom Standardspektrum ";"Bodenreflexion (Albedo) ";"Ausrichtung und Neigung der Modulebene ";"Abschattung ";"Reflexion an Moduloberfläche ";"Einstrahlung auf die Modul-Rückseite ";"Globalstrahlung auf Modul ";"Gebäude 01-Dachfläche Süd: Globalstrahlung horizontal ";"Gebäude 01-Dachfläche Süd: Verluste durch Abweichung vom Standardspektrum ";"Gebäude 01-Dachfläche Süd: Verluste durch Bodenreflexion (Albedo) ";"Gebäude 01-Dachfläche Süd: Gewinne durch Ausrichtung und Neigung der Modulebene ";"Gebäude 01-Dachfläche Süd: Verluste durch Abschattung ";"Gebäude 01-Dachfläche Süd: Reflexion an Moduloberfläche ";"Gebäude 01-Dachfläche Süd: Einstrahlung auf die Modul-Rückseite ";"Gebäude 01-Dachfläche Süd: Globalstrahlung auf Modul ";"PV Globalstrahlung ";"Bifazialität ";"Verschmutzung ";"STC Konversion (Modul-Nennwirkungsgrad) ";"PV Nennenergie ";"Schwachlichtverhalten ";"Modulspezifische Teilabschattung ";"Abweichung von der Nenn-Modultemperatur ";"Dioden ";"Mismatch (Herstellerangaben) ";"Mismatch (Verschaltung/Abschattung) ";"Leistungsoptimierer (DC-Wandlung/Abregelung) ";"PV-Energie (DC) ohne Wechselrichter-Abregelung ";"Unterschreitung der DC-Startleistung ";"Abregelung wegen MPP-Spannungsbereich ";"Abregelung wegen max. DC-Strom ";"Abregelung wegen max. DC-Leistung ";"Abregelung wegen max. AC-Leistung/cos phi ";"MPP Anpassung ";"PV-Energie (DC) ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: PV Globalstrahlung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Bifazialität ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Verschmutzung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch STC Konversion (Modul-Nennwirkungsgrad) ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: PV Nennenergie ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Modulspezifische Teilabschattung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Schwachlichtverhalten ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Abweichung von der Nenn-Modultemperatur ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Dioden ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Mismatch (Herstellerangaben) ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Mismatch (Verschaltung/Abschattung) ";"Leistungsoptimierer (DC-Wandlung/Abregelung) *";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: PV-Energie (DC) ohne Wechselrichter-Abregelung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Unterschreitung der DC-Startleistung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Abregelung wegen MPP-Spannungsbereich ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Abregelung wegen max. DC-Strom ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Abregelung wegen max. DC-Leistung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Abregelung wegen max. AC-Leistung/cos phi ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch MPP Anpassung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: PV-Energie (DC) ";"Energie am WR-Eingang ";"Abweichung der Eingangs- von der Nennspannung ";"DC/AC-Wandlung ";"Eigenverbrauch (Standby oder Nacht) ";"Kabelverluste Gesamt ";"PV-Energie (AC) abzgl. Standby-Verbrauch ";"Eingespeiste Energie ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Energie am WR-Eingang ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Verluste durch Abweichung der Eingangs- von der Nennspannung ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Verluste durch DC/AC-Wandlung ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Eigenverbrauch (Standby oder Nacht) ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Kabelverluste Gesamt ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: PV-Energie (AC) abzgl. Standby-Verbrauch ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Eingespeiste Energie ";
;kWh/m²;kWh/m²;°C;rad;kWh/m²;°C;A;V;V;kWh;kWh;kWh;kWh;kWh;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;

Jahr;1057,6;620,65;10,961;0,34378;1206,4;14,677;5,7428;712,77;358,93;10261;1994,5;3304;0;1320,5;1057,6;-10,576;18,936;140,4;0;0;0;1206,4;1057,6;-10,576;18,936;140,4;0;0;0;1206,4;56539;0;0;-44378;12161;37,925;0;-161,38;0;0;0;-60,269;11978;0;-40,862;0;0;-0,2586;0;11937;56539;0;0;-44378;12161;0;37,925;-161,38;0;0;0;-60,269;11978;0;-40,862;0;0;-0,2586;0;11937;11937;0;-354,81;-11,06;0;11571;11582;11937;0;-354,81;-11,06;0;11571;11582;

Jan;23,851;16,48;3,1222;-18,101;40,565;4,5922;2,3269;478,07;244,38;335,33;223,22;286,08;0;64,094;23,851;-0,23851;0,42703;16,525;0;0;0;40,565;23,851;-0,23851;0,42703;16,525;0;0;0;40,565;1901,1;0;0;-1492,2;408,92;-1,75;0;12,329;0;0;0;-2,0975;417,4;0;-0,7036;0;0;0;0;416,7;1901,1;0;0;-1492,2;408,92;0;-1,75;12,329;0;0;0;-2,0975;417,4;0;-0,7036;0;0;0;0;416,7;416,7;0;-17,275;-1,2425;0;398,18;399,42;416,7;0;-17,275;-1,2425;0;398,18;399,42;
Feb;38,947;24,55;3,6795;-11,333;58,007;6,0067;3,7113;582,86;298,3;515,16;193,2;251,65;0;59,454;38,947;-0,38947;0,69731;18,752;0;0;0;58,007;38,947;-0,38947;0,69731;18,752;0;0;0;58,007;2718,5;0;0;-2133,8;584,75;0,56911;0;13,488;0;0;0;-2,994;595,81;0;-0,8085;0;0;0;0;595;2718,5;0;0;-2133,8;584,75;0;0,56911;13,488;0;0;0;-2,994;595,81;0;-0,8085;0;0;0;0;595;595;0;-20,385;-1;0;573,62;574,62;595;0;-20,385;-1;0;573,62;574,62;
Mär;81,178;50,208;6,7277;-1,7386;104;10,501;6,0235;698,71;361,17;909,3;175,91;297,35;0;122,39;81,178;-0,81178;1,4534;22,182;0;0;0;104;81,178;-0,81178;1,4534;22,182;0;0;0;104;4874,1;0;0;-3825,7;1048,4;6,1049;0;11,26;0;0;0;-5,3289;1060,4;0;-1,1363;0;0;0;0;1059,3;4874,1;0;0;-3825,7;1048,4;0;6,1049;11,26;0;0;0;-5,3289;1060,4;0;-1,1363;0;0;0;0;1059,3;1059,3;0;-27,615;-0,9575;0;1030,7;1031,7;1059,3;0;-27,615;-0,9575;0;1030,7;1031,7;
Apr;125,25;64,437;10,391;8,4041;143,16;15,757;8,3349;804;412;1238,4;127,23;269,06;0;142,62;125,25;-1,2525;2,2424;16,924;0;0;0;143,16;125,25;-1,2525;2,2424;16,924;0;0;0;143,16;6709,4;0;0;-5266,2;1443,2;7,236;0;-20,868;0;0;0;-7,1841;1422,3;0;-3,4357;0;0;-0,2586;0;1418,6;6709,4;0;0;-5266,2;1443,2;0;7,236;-20,868;0;0;0;-7,1841;1422,3;0;-3,4357;0;0;-0,2586;0;1418,6;1418,6;0;-37,593;-0,795;0;1380,3;1381,1;1418,6;0;-37,593;-0,795;0;1380,3;1381,1;
Mai;146,94;87,739;14,429;16,319;145,15;19,695;8,1159;909,68;457,82;1246,6;114,87;257,07;0;142,88;146,94;-1,4694;2,6307;-2,9432;0;0;0;145,15;146,94;-1,4694;2,6307;-2,9432;0;0;0;145,15;6802,8;0;0;-5339,5;1463,3;6,3091;0;-27,476;0;0;0;-7,2208;1434,9;0;-5,2977;0;0;0;0;1429,6;6802,8;0;0;-5339,5;1463,3;0;6,3091;-27,476;0;0;0;-7,2208;1434,9;0;-5,2977;0;0;0;0;1429,6;1429,6;0;-40,097;-0,685;0;1388,8;1389,5;1429,6;0;-40,097;-0,685;0;1388,8;1389,5;
Jun;157,48;87,8;17,102;20,028;150,1;22,728;8,5559;962;476,57;1235,2;87,964;269,67;0;182,3;157,48;-1,5748;2,8195;-8,6229;0;0;0;150,1;157,48;-1,5748;2,8195;-8,6229;0;0;0;150,1;7034,7;0;0;-5521,5;1513,1;4,3519;0;-45,056;0;0;0;-7,3947;1465;0;-6,4668;0;0;0;0;1458,6;7034,7;0;0;-5521,5;1513,1;0;4,3519;-45,056;0;0;0;-7,3947;1465;0;-6,4668;0;0;0;0;1458,6;1458,6;0;-41,106;-0,5975;0;1416,9;1417,5;1458,6;0;-41,106;-0,5975;0;1416,9;1417,5;
Jul;159,03;95,773;19,245;18,475;153,09;24,799;8,4214;930,97;460,83;1280,6;99,565;260,01;0;161,11;159,03;-1,5903;2,8473;-7,2002;0;0;0;153,09;159,03;-1,5903;2,8473;-7,2002;0;0;0;153,09;7174,6;0;0;-5631,4;1543,2;6,9336;0;-52,413;0;0;0;-7,4887;1490,3;0;-7,2491;0;0;0;0;1483;7174,6;0;0;-5631,4;1543,2;0;6,9336;-52,413;0;0;0;-7,4887;1490,3;0;-7,2491;0;0;0;0;1483;1483;0;-41,277;-0,6575;0;1441,1;1441,7;1483;0;-41,277;-0,6575;0;1441,1;1441,7;
Aug;130,82;77,98;18,602;12,054;135,17;23,505;7,465;859,36;425,7;1107,3;123,06;293,2;0;170,88;130,82;-1,3082;2,3423;3,3148;0;0;0;135,17;130,82;-1,3082;2,3423;3,3148;0;0;0;135,17;6335;0;0;-4972,4;1362,6;5,339;0;-40,869;0;0;0;-6,6355;1320,5;0;-6,4647;0;0;0;0;1314;6335;0;0;-4972,4;1362,6;0;5,339;-40,869;0;0;0;-6,6355;1320,5;0;-6,4647;0;0;0;0;1314;1314;0;-35,853;-0,75;0;1277,4;1278,2;1314;0;-35,853;-0,75;0;1277,4;1278,2;
