Zeit;Verbrauch ;PV-Ertrag;Netzeinspeisung ;Thermische Last 
01.01. 00:00;0,016247;0;0;2
01.01. 01:00;0,016162;0;0;1,9
01.01. 02:00;0,016005;0;0;2
01.01. 03:00;0,16645;0;0;1,9
01.01. 04:00;0,0162;0;0;1,9
01.01. 05:00;0,016198;0;0;2,6
01.01. 06:00;0,20339;0;0;3,5
01.01. 07:00;0,42496;0;0;3,3
01.01. 08:00;0,22908;0;0;3,3
01.01. 09:00;0,016147;0,13803;0,12188;3,4
01.01. 10:00;0,016288;0,57335;0,55706;3,4
01.01. 11:00;0,016095;0,86578;0,84968;3
01.01. 12:00;0,016241;1,0992;1,083;2,5
01.01. 13:00;0,16708;0,95916;0,79208;2,1
01.01. 14:00;0,016239;0,65662;0,64039;2,4
01.01. 15:00;0,01603;0,18989;0,17386;2,7
01.01. 16:00;0,015993;0;0;2,3
01.01. 17:00;1,3415;0;0;2,3
01.01. 18:00;1,5431;0;0;2,5
01.01. 19:00;0,88892;0;0;2,6
01.01. 20:00;0,33208;0;0;2,7
01.01. 21:00;1,3572;0;0;2,4
01.01. 22:00;0,11779;0;0;1,3
01.01. 23:00;0,16759;0;0;1
02.01. 00:00;0,016019;0;0;1,1
02.01. 01:00;0,016072;0;0;2,1
02.01. 02:00;0,016069;0;0;2
02.01. 03:00;0,016074;0;0;2,2
02.01. 04:00;0,16481;0;0;2,9
02.01. 05:00;0,016088;0;0;4
02.01. 06:00;0,20728;0;0;6,4
02.01. 07:00;0,54116;0;0;6
02.01. 08:00;0,20203;0;0;5,4
02.01. 09:00;0,19662;0,085756;0;5,3
02.01. 10:00;0,01597;0,48715;0,47118;4,9
02.01. 11:00;0,0162;0,74958;0,73338;4,7
02.01. 12:00;0,0162;0,82379;0,80759;4,4
02.01. 13:00;0,016165;0,72972;0,71355;4,6
02.01. 14:00;0,16566;0,50626;0,3406;4,2
02.01. 15:00;0,016164;0,11803;0,10186;4,4
02.01. 16:00;0,016247;0;0;5,1
02.01. 17:00;1,3136;0;0;5,1
02.01. 18:00;0,3056;0;0;5,9
02.01. 19:00;1,694;0;0;6,1
02.01. 20:00;0,76976;0;0;6,4
02.01. 21:00;0,50098;0;0;6,8
02.01. 22:00;0,058156;0;0;4,6
02.01. 23:00;0,016107;0;0;4,2
03.01. 00:00;0,16216;0;0;4,4
03.01. 01:00;0,016153;0;0;4,1
03.01. 02:00;0,016346;0;0;3,9
03.01. 03:00;0,016187;0;0;3,7
03.01. 04:00;0,016188;0;0;4,2
03.01. 05:00;0,16817;0;0;6,1
03.01. 06:00;0,20352;0;0;7,8
03.01. 07:00;0,55248;0;0;7,1
03.01. 08:00;0,1103;0;0;5,7
03.01. 09:00;0,016338;0,067678;0,05134;4,9
03.01. 10:00;0,16376;0,20598;0,042223;5,3
03.01. 11:00;0,016093;0,57092;0,55482;4,6
03.01. 12:00;0,016061;0,82274;0,80668;4,6
03.01. 13:00;0,016031;0,70113;0,6851;4,3
03.01. 14:00;0,016133;0,99127;0,97513;4,4
03.01. 15:00;0,16684;0,13334;0;4,1
03.01. 16:00;0,016437;0;0;4
03.01. 17:00;1,6603;0;0;4,3
03.01. 18:00;1,1403;0;0;4,2
03.01. 19:00;0,2623;0;0;5,4
03.01. 20:00;0,99426;0;0;5,7
03.01. 21:00;0,97131;0;0;5,1
03.01. 22:00;0,50903;0;0;3,4
