Warm Water.Timestep;Time;Sum [L]
0;01.01.2016 00:00;0
60;01.01.2016 01:00;0
120;01.01.2016 02:00;0
180;01.01.2016 03:00;0
240;01.01.2016 04:00;0
300;01.01.2016 05:00;0
360;01.01.2016 06:00;17,5
420;01.01.2016 07:00;35
480;01.01.2016 08:00;10
540;01.01.2016 09:00;5
600;01.01.2016 10:00;0
660;01.01.2016 11:00;110
720;01.01.2016 12:00;40
780;01.01.2016 13:00;5
840;01.01.2016 14:00;0
900;01.01.2016 15:00;15
960;01.01.2016 16:00;10
1020;01.01.2016 17:00;0
1080;01.01.2016 18:00;0
1140;01.01.2016 19:00;0
1200;01.01.2016 20:00;20
1260;01.01.2016 21:00;0
1320;01.01.2016 22:00;0
1380;01.01.2016 23:00;0
1440;02.01.2016 00:00;0
1500;02.01.2016 01:00;0
1560;02.01.2016 02:00;0
1620;02.01.2016 03:00;0
1680;02.01.2016 04:00;0
1740;02.01.2016 05:00;0
1800;02.01.2016 06:00;15
1860;02.01.2016 07:00;35
1920;02.01.2016 08:00;90
1980;02.01.2016 09:00;15
2040;02.01.2016 10:00;62,5
2100;02.01.2016 11:00;5
2160;02.01.2016 12:00;0
2220;02.01.2016 13:00;10
2280;02.01.2016 14:00;0
2340;02.01.2016 15:00;5
2400;02.01.2016 16:00;0
2460;02.01.2016 17:00;10
2520;02.01.2016 18:00;0
2580;02.01.2016 19:00;10
2640;02.01.2016 20:00;0
2700;02.01.2016 21:00;70
2760;02.01.2016 22:00;20
2820;02.01.2016 23:00;0
2880;03.01.2016 00:00;0
2940;03.01.2016 01:00;0
3000;03.01.2016 02:00;0
3060;03.01.2016 03:00;0
3120;03.01.2016 04:00;0
3180;03.01.2016 05:00;0
3240;03.01.2016 06:00;45
3300;03.01.2016 07:00;25
3360;03.01.2016 08:00;17,5
3420;03.01.2016 09:00;70
3480;03.01.2016 10:00;0
3540;03.01.2016 11:00;10
3600;03.01.2016 12:00;20
3660;03.01.2016 13:00;35
3720;03.01.2016 14:00;0
3780;03.01.2016 15:00;5
3840;03.01.2016 16:00;5
3900;03.01.2016 17:00;0
3960;03.01.2016 18:00;0
4020;03.01.2016 19:00;0
4080;03.01.2016 20:00;5
4140;03.01.2016 21:00;5
4200;03.01.2016 22:00;0
4260;03.01.2016 23:00;0
4320;04.01.2016 00:00;0
4380;04.01.2016 01:00;0
4440;04.01.2016 02:00;0
4500;04.01.2016 03:00;0
4560;04.01.2016 04:00;0
4620;04.01.2016 05:00;0
4680;04.01.2016 06:00;10
4740;04.01.2016 07:00;20
4800;04.01.2016 08:00;2,5
4860;04.01.2016 09:00;0
4920;04.01.2016 10:00;0
4980;04.01.2016 11:00;0
5040;04.01.2016 12:00;0
5100;04.01.2016 13:00;0
5160;04.01.2016 14:00;0
5220;04.01.2016 15:00;0
5280;04.01.2016 16:00;0
5340;04.01.2016 17:00;70
5400;04.01.2016 18:00;85
5460;04.01.2016 19:00;10
5520;04.01.2016 20:00;0
5580;04.01.2016 21:00;0
5640;04.01.2016 22:00;5
5700;04.01.2016 23:00;0
5760;05.01.2016 00:00;0
