Stunde;2019;2020;2021;2022
1;0.02832;0.04188;0.05087;0.05005
2;0.01007;0.0386;0.04819;0.04133
3;-0.00408;0.03655;0.04468;0.04322
4;-0.00991;0.03232;0.04292;0.04546
5;-0.00741;0.03085;0.04039;0.03767
6;-0.01255;0.03014;0.0402;0.0397
7;-0.01725;0.03017;0.03963;0.04059
8;-0.01507;0.03;0.04009;0.04326
9;-0.00493;0.03065;0.04127;0.04966
10;-0.00633;0.03065;0.04488;0.07005
11;-0.00493;0.03027;0.045;0.07679
12;0.00045;0.03034;0.0472;0.0841
13;0.00012;0.03099;0.05078;0.09474
14;-0.00002;0.03004;0.04549;0.0968
15;0;0.03075;0.04473;0.09717
16;-0.00003;0.03211;0.04659;0.101
17;0.00197;0.03598;0.05299;0.1266
18;0.00906;0.0404;0.06026;0.14997
19;0.00007;0.04405;0.06061;0.14633
20;-0.00497;0.04315;0.06036;0.14028
21;-0.00698;0.04345;0.0574;0.12188
22;-0.02493;0.04068;0.05386;0.10261
23;-0.00487;0.04027;0.05345;0.09746
24;-0.02893;0.03485;0.04972;0.08516
25;-0.03357;0.0354;0.04669;0.05708
26;-0.04592;0.03198;0.04243;0.05259
27;-0.04829;0.0305;0.04109;0.04897
28;-0.04499;0.02879;0.04;0.03494
29;-0.04893;0.02842;0.03755;0.02956
30;-0.02991;0.02875;0.039;0.03397
31;-0.00001;0.03416;0.04209;0.03452
32;0.03743;0.04207;0.04496;0.0418
33;0.04806;0.04489;0.04845;0.04895
34;0.05074;0.04526;0.052;0.06001
35;0.04757;0.04557;0.052;0.07009
36;0.04394;0.04509;0.05215;0.06626
37;0.04097;0.04516;0.05595;0.06454
38;0.04495;0.0449;0.052;0.04696
39;0.04964;0.04406;0.05069;0.04001
40;0.05367;0.04484;0.05345;0.02911
41;0.05601;0.0444;0.05999;0.03276
42;0.05695;0.04605;0.062;0.04297
43;0.06208;0.04672;0.06308;0.06096
44;0.06211;0.04526;0.06217;0.06094
45;0.05799;0.03932;0.06003;0.05412
