Zeit;Verbrauch ;PV-Ertrag;Netzeinspeisung ;Thermische Last ;Außentemperatur
01.01. 00:00;0,016247;0;0;0,22;10,7
01.01. 01:00;0,016162;0;0;0,13;10,77
01.01. 02:00;0,016005;0;0;0,07;10,55
01.01. 03:00;0,16645;0;0;0,03;10,44
01.01. 04:00;0,0162;0;0;0,07;10,34
01.01. 05:00;0,016198;0;0;0,07;10,23
01.01. 06:00;0,20339;0;0;0,1;10,17
01.01. 07:00;0,42496;0;0;0,2;10,1
01.01. 08:00;0,22908;0;0;0,51;10,13
01.01. 09:00;0,016147;0,13803;0,12188;1;10,76
01.01. 10:00;0,016288;0,57335;0,55706;1,08;11,48
01.01. 11:00;0,016095;0,86578;0,84968;1,06;12,15
01.01. 12:00;0,016241;1,0992;1,083;0,93;12,7
01.01. 13:00;0,16708;0,95916;0,79208;0,73;13
01.01. 14:00;0,016239;0,65662;0,64039;0,7;13,05
01.01. 15:00;0,01603;0,18989;0,17386;0,61;12,77
01.01. 16:00;0,015993;0;0;0,54;12,28
01.01. 17:00;1,3415;0;0;0,57;11,9
01.01. 18:00;1,5431;0;0;0,64;11,45
01.01. 19:00;0,88892;0;0;0,69;11,14
01.01. 20:00;0,33208;0;0;0,66;10,73
01.01. 21:00;1,3572;0;0;0,6;10,38
01.01. 22:00;0,11779;0;0;0,46;9,99
01.01. 23:00;0,16759;0;0;0,3;9,61
02.01. 00:00;0,016019;0;0;0,27;9,09
02.01. 01:00;0,016072;0;0;0,18;8,36
02.01. 02:00;0,016069;0;0;0,11;7,93
02.01. 03:00;0,016074;0;0;0,13;7,66
02.01. 04:00;0,16481;0;0;0,26;7,34
02.01. 05:00;0,016088;0;0;0,66;7,06
02.01. 06:00;0,20728;0;0;1,77;6,81
02.01. 07:00;0,54116;0;0;1,8;6,56
02.01. 08:00;0,20203;0;0;1,75;6,5
02.01. 09:00;0,19662;0,085756;0;1,56;6,8
02.01. 10:00;0,01597;0,48715;0,47118;1,25;7,12
02.01. 11:00;0,0162;0,74958;0,73338;1,17;7,43
02.01. 12:00;0,0162;0,82379;0,80759;1,16;7,63
02.01. 13:00;0,016165;0,72972;0,71355;1,17;7,7
